"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST0000062814","INV0040430","118.99","25-Feb-2065"
"CUST0000477203","INV0040763","89.38","02-Sep-2065"
"CUST0000272493","INV0041196","75.94","12-May-2066"
"CUST0000002010","INV0041561","95.75","19-Dec-2066"
"CUST0000236853","INV0041707","75.42","07-Mar-2067"
"CUST0000441107","INV0042670","115.88","28-Sep-2068"
"CUST0000438211","INV0042709","74.7","19-Oct-2068"
"CUST0000412643","INV0042909","107.94","29-Jan-2069"
"CUST0000223551","INV0043010","81.14","02-Apr-2069"
"CUST0000258287","INV0043056","118.38","25-Apr-2069"
"CUST0000223523","INV0043506","86.66","11-Jan-2070"
"CUST0000411356","INV0043614","85.14","19-Mar-2070"
"CUST0000197220","INV0044745","90.19","01-Jan-2072"
"CUST0000183427","INV0044815","76.62","14-Feb-2072"
"CUST0000009290","INV0044989","107.55","23-May-2072"
"CUST0000230662","INV0045365","101.85","19-Dec-2072"
"CUST0000390760","INV0045925","98.86","05-Nov-2073"
"CUST0000497112","INV0046067","81.88","20-Jan-2074"
"CUST0000365811","INV0047924","99.44","14-Nov-2076"
"CUST0000483033","INV0048107","117.41","26-Feb-2077"
"CUST0000261220","INV0048258","71.62","19-May-2077"
"CUST0000266202","INV0048352","114.29","06-Jul-2077"
"CUST0000484771","INV0048641","116.91","24-Dec-2077"
"CUST0000489148","INV0048890","101.27","24-May-2078"
"CUST0000105517","INV0049584","111.82","20-Jun-2079"
"CUST0000493387","INV0050668","115.99","03-Mar-2081"
"CUST0000148637","INV0051283","78.14","28-Feb-2082"
"CUST0000053273","INV0051432","76.43","24-May-2082"
"CUST0000350738","INV0051433","102.83","25-May-2082"
"CUST0000225606","INV0052359","77.9","27-Nov-2083"
"CUST0000001091","INV0052647","86.87","06-May-2084"
"CUST0000445650","INV0052694","86.89","28-May-2084"
"CUST0000137034","INV0052872","100.82","20-Sep-2084"
"CUST0000109535","INV0052971","84.48","06-Nov-2084"
"CUST0000284787","INV0053088","104.01","13-Jan-2085"
"CUST0000153040","INV0053212","99.68","22-Mar-2085"
"CUST0000096386","INV0053646","73.3","22-Nov-2085"
"CUST0000396670","INV0053887","102.01","20-Apr-2086"
"CUST0000400415","INV0053943","74.36","26-May-2086"
"CUST0000132882","INV0054266","84.93","26-Nov-2086"
"CUST0000209708","INV0054909","89.99","16-Nov-2087"
"CUST0000366728","INV0055485","115.38","18-Oct-2088"
"CUST0000377844","INV0056215","117.78","10-Dec-2089"
"CUST0000138042","INV0056463","102.72","30-Apr-2090"
"CUST0000307232","INV0057685","107.62","09-Apr-2092"
"CUST0000077279","INV0057719","84.27","04-May-2092"
"CUST0000081507","INV0057742","112.58","18-May-2092"
"CUST0000092580","INV0058177","92.71","21-Jan-2093"
"CUST0000421919","INV0058562","109.7","28-Aug-2093"
"CUST0000392822","INV0058889","99.15","28-Feb-2094"
"CUST0000241202","INV0059392","108.59","01-Dec-2094"
"CUST0000064717","INV0059895","72.12","26-Sep-2095"
"CUST0000011341","INV0060337","115.15","21-Jun-2096"
"CUST0000392121","INV0060465","119.27","29-Aug-2096"
"CUST0000392364","INV0061977","95.46","11-Jan-2099"
"CUST0000246223","INV0062064","76.22","03-Mar-2099"
"CUST0000046061","INV0062205","106.65","01-Jun-2099"
"CUST0000017118","INV0063654","99.11","06-Aug-2101"
"CUST0000319565","INV0063698","72.34","30-Aug-2101"
"CUST0000259785","INV0063812","106.95","03-Nov-2101"
"CUST0000364926","INV0063910","116.58","26-Dec-2101"
"CUST0000418514","INV0064412","83.56","06-Oct-2102"
"CUST0000134111","INV0064892","79.34","19-Jul-2103"
"CUST0000002252","INV0066233","82.31","14-Aug-2105"
"CUST0000461005","INV0066249","100.78","20-Aug-2105"
"CUST0000072942","INV0066960","91.13","28-Sep-2106"
"CUST0000069958","INV0067445","76.12","06-Jul-2107"
"CUST0000025704","INV0068594","102.21","04-May-2109"
"CUST0000378161","INV0068768","115.62","21-Aug-2109"
"CUST0000304624","INV0068869","73.5","19-Oct-2109"
"CUST0000450216","INV0069734","102.4","09-Mar-2111"
"CUST0000155889","INV0070155","108.28","15-Nov-2111"
"CUST0000415300","INV0070740","99.98","01-Nov-2112"
"CUST0000161807","INV0071795","104.18","26-Jul-2114"
"CUST0000111373","INV0071983","94.45","18-Nov-2114"
"CUST0000320930","INV0072415","74.07","29-Jul-2115"
"CUST0000333114","INV0072594","97.62","07-Nov-2115"
"CUST0000437959","INV0072753","101.6","03-Feb-2116"
"CUST0000485388","INV0072855","109.15","07-Apr-2116"
"CUST0000056440","INV0072857","76.12","08-Apr-2116"
"CUST0000225455","INV0072994","77.62","27-Jun-2116"
"CUST0000145368","INV0073384","79.59","09-Feb-2117"
"CUST0000457830","INV0073688","85.96","30-Jul-2117"
"CUST0000318939","INV0074030","114.1","06-Feb-2118"
"CUST0000426370","INV0075049","116.41","14-Sep-2119"
"CUST0000267542","INV0075153","110.62","13-Nov-2119"
"CUST0000441859","INV0075615","86.02","07-Aug-2120"
"CUST0000479186","INV0075878","118.26","14-Jan-2121"
"CUST0000349826","INV0076018","75.84","06-Apr-2121"
"CUST0000173541","INV0077197","114.24","16-Mar-2123"
"CUST0000326656","INV0077296","115.46","11-May-2123"
"CUST0000436067","INV0077360","112.19","16-Jun-2123"
"CUST0000377169","INV0077388","88.86","28-Jun-2123"
"CUST0000245108","INV0077625","75.24","16-Nov-2123"
"CUST0000000074","INV0077912","86.69","10-May-2124"
"CUST0000356179","INV0078543","91.67","27-May-2125"
"CUST0000153357","INV0078824","75.92","10-Nov-2125"
"CUST0000288620","INV0079206","113.92","20-Jun-2126"
"CUST0000178211","INV0079438","75.84","16-Nov-2126"
"CUST0000457302","INV0079608","79.7","22-Feb-2127"
"CUST0000495737","INV0081151","79.02","01-Sep-2129"
"CUST0000137034","INV0081782","86.46","27-Aug-2130"
"CUST0000016490","INV0082372","71.59","13-Aug-2131"
"CUST0000105517","INV0082721","106.09","02-Mar-2132"
"CUST0000025704","INV0083044","91.17","06-Sep-2132"
"CUST0000416917","INV0083166","75.75","24-Nov-2132"
"CUST0000071896","INV0083173","70.94","29-Nov-2132"
"CUST0000036427","INV0083447","112.06","25-Apr-2133"
"CUST0000438558","INV0084230","109.29","29-Jun-2134"
"CUST0000364546","INV0085900","97.39","17-Feb-2137"
"CUST0000392121","INV0086019","119.73","02-May-2137"
"CUST0000261220","INV0086174","119.86","04-Aug-2137"
"CUST0000206847","INV0086256","70.36","20-Sep-2137"
"CUST0000208259","INV0086689","84.94","16-May-2138"
"CUST0000014488","INV0086739","93.98","19-Jun-2138"
"CUST0000138042","INV0086965","92.53","07-Nov-2138"
"CUST0000010882","INV0087419","117.01","25-Jul-2139"
"CUST0000360943","INV0087563","117.63","10-Oct-2139"
"CUST0000403747","INV0088740","91.32","17-Aug-2141"
"CUST0000387850","INV0088864","76.32","21-Oct-2141"
"CUST0000184562","INV0089107","107.83","10-Mar-2142"
"CUST0000145368","INV0089360","105.51","28-Jul-2142"
"CUST0000385802","INV0089536","78.37","08-Nov-2142"
"CUST0000381722","INV0090548","108.76","28-May-2144"
"CUST0000291006","INV0090947","110.14","14-Jan-2145"
"CUST0000124740","INV0091217","116.4","29-Jun-2145"
"CUST0000301092","INV0092200","84.17","19-Jan-2147"
"CUST0000118526","INV0093227","79.97","10-Sep-2148"
"CUST0000153138","INV0094054","113.33","27-Dec-2149"
"CUST0000319565","INV0094290","74.05","21-May-2150"
"CUST0000426608","INV0094392","108.15","14-Jul-2150"
"CUST0000122896","INV0094779","93.77","14-Feb-2151"
"CUST0000098866","INV0095103","119.78","11-Aug-2151"
"CUST0000209552","INV0095731","87.81","21-Aug-2152"
"CUST0000173126","INV0097439","83.58","01-May-2155"
"CUST0000199579","INV0097619","81.31","17-Aug-2155"
"CUST0000328612","INV0097801","77.84","03-Dec-2155"
"CUST0000390872","INV0098348","74.31","24-Sep-2156"
"CUST0000452651","INV0098352","87.49","25-Sep-2156"
"CUST0000003510","INV0098525","89.18","09-Jan-2157"
"CUST0000201126","INV0099068","78.56","26-Nov-2157"
"CUST0000409393","INV0099096","71.7","14-Dec-2157"
"CUST0000012853","INV0099639","83.35","11-Nov-2158"
"CUST0000056045","INV0100006","104.88","04-Jun-2159"
"CUST0000281264","INV0100589","93.81","18-May-2160"
"CUST0000327472","INV0101710","74.03","01-Mar-2162"
"CUST0000354099","INV0101807","96.67","02-May-2162"
"CUST0000109524","INV0102516","79.52","17-Jun-2163"
"CUST0000219927","INV0102596","92.98","07-Aug-2163"
"CUST0000485388","INV0102925","99.97","19-Feb-2164"
"CUST0000114548","INV0103395","100.63","10-Nov-2164"
"CUST0000360782","INV0103544","87.12","02-Feb-2165"
"CUST0000307749","INV0104389","90.5","23-May-2166"
"CUST0000260751","INV0104746","89.79","18-Dec-2166"
"CUST0000483033","INV0105504","115.22","20-Feb-2168"
"CUST0000206634","INV0105881","80.67","05-Oct-2168"
"CUST0000218641","INV0108015","114.26","23-Jan-2172"
"CUST0000000393","INV0108111","114.38","26-Mar-2172"
"CUST0000412706","INV0108147","89.8","19-Apr-2172"
"CUST0000476602","INV0108431","79.9","08-Sep-2172"
"CUST0000055594","INV0109563","71.94","29-Jul-2174"
"CUST0000173126","INV0110403","117.49","28-Nov-2175"
"CUST0000013623","INV0110717","112.07","18-May-2176"
"CUST0000349692","INV0110896","77.75","29-Aug-2176"
"CUST0000341540","INV0110914","82.83","12-Sep-2176"
"CUST0000174365","INV0111204","111.48","07-Mar-2177"
"CUST0000155889","INV0111379","108.44","14-Jun-2177"
"CUST0000375097","INV0111557","77.1","22-Sep-2177"
"CUST0000260743","INV0111838","117.79","07-Mar-2178"
"CUST0000051071","INV0112429","77.39","16-Feb-2179"
"CUST0000307232","INV0112751","70.44","07-Aug-2179"
"CUST0000056457","INV0113794","74.03","12-Apr-2181"
"CUST0000016490","INV0114174","109.09","04-Nov-2181"
"CUST0000441107","INV0114563","109.49","15-Jun-2182"
"CUST0000123098","INV0114594","72.3","05-Jul-2182"
"CUST0000296029","INV0115587","96.69","24-Feb-2184"
"CUST0000010042","INV0116419","92.39","03-Jun-2185"
"CUST0000198723","INV0117876","79.18","17-Aug-2187"
"CUST0000133165","INV0118005","98.34","02-Nov-2187"
"CUST0000218423","INV0118901","79.75","06-Mar-2189"
"CUST0000339590","INV0119163","93.77","18-Aug-2189"
"CUST0000112610","INV0120348","90.37","06-Jun-2191"
"CUST0000067824","INV0120865","80.72","31-Mar-2192"
"CUST0000395297","INV0121227","85.12","07-Oct-2192"
"CUST0000365811","INV0121579","101.09","01-May-2193"
"CUST0000185712","INV0121672","84.14","27-Jun-2193"
"CUST0000113647","INV0122213","70.62","13-May-2194"
"CUST0000171282","INV0122240","113.8","28-May-2194"
"CUST0000095050","INV0122838","74.23","09-May-2195"
"CUST0000231918","INV0123084","83.98","11-Oct-2195"
"CUST0000439230","INV0123342","102.08","28-Feb-2196"
"CUST0000142840","INV0123811","88.69","03-Nov-2196"
"CUST0000201126","INV0124729","88.86","04-Apr-2198"
"CUST0000301445","INV0125340","76.8","12-Mar-2199"
"CUST0000020720","INV0126065","103.91","29-Apr-2200"
"CUST0000313829","INV0126559","119.96","01-Feb-2201"
"CUST0000104227","INV0126616","106.42","09-Mar-2201"
"CUST0000104227","INV0127306","81.15","09-Apr-2202"
"CUST0000021889","INV0127665","103.52","02-Nov-2202"
"CUST0000452651","INV0129001","83.64","14-Dec-2204"
"CUST0000088029","INV0129156","90.39","11-Mar-2205"
"CUST0000308602","INV0129306","88.63","17-Jun-2205"
"CUST0000426370","INV0130149","91.38","12-Oct-2206"
"CUST0000000074","INV0130509","113.7","07-May-2207"
"CUST0000177989","INV0131194","76.3","11-Jun-2208"
"CUST0000241565","INV0131514","75.65","24-Dec-2208"
"CUST0000228771","INV0131581","89.68","01-Feb-2209"
"CUST0000269146","INV0132125","106.27","19-Dec-2209"
"CUST0000475963","INV0132860","78.61","28-Jan-2211"
"CUST0000179175","INV0133830","87.22","25-Aug-2212"
"CUST0000284683","INV0136700","90.44","28-Mar-2217"
"CUST0000448559","INV0137600","81.98","09-Sep-2218"
"CUST0000051727","INV0137898","113.95","14-Feb-2219"
"CUST0000013049","INV0140152","77.34","16-Sep-2222"
"CUST0000483636","INV0140889","115.33","13-Nov-2223"
"CUST0000005952","INV0140929","89.2","09-Dec-2223"
"CUST0000212542","INV0141015","86.25","22-Jan-2224"
"CUST0000195286","INV0141908","109.9","16-Jun-2225"
"CUST0000216793","INV0142316","73.42","16-Feb-2226"
"CUST0000339590","INV0142411","81.11","08-Apr-2226"
"CUST0000038494","INV0143301","75.39","25-Aug-2227"
"CUST0000307498","INV0143577","83.8","07-Feb-2228"
"CUST0000409789","INV0143740","101.21","05-May-2228"
"CUST0000052520","INV0143864","83.89","19-Jul-2228"
"CUST0000359006","INV0143867","119.72","21-Jul-2228"
"CUST0000118526","INV0144043","76.17","31-Oct-2228"
"CUST0000469588","INV0144229","92.31","16-Feb-2229"
"CUST0000007843","INV0144587","99.6","05-Sep-2229"
"CUST0000328304","INV0144599","119.34","11-Sep-2229"
"CUST0000173126","INV0144974","87.83","16-Apr-2230"
"CUST0000398660","INV0145615","118.64","23-Apr-2231"
"CUST0000295169","INV0145794","106.58","09-Aug-2231"
"CUST0000160253","INV0146427","73.42","10-Aug-2232"
"CUST0000326656","INV0146909","74.72","12-May-2233"
"CUST0000210162","INV0148317","74.57","30-Aug-2235"
"CUST0000246530","INV0149463","82.64","16-Jun-2237"
"CUST0000201193","INV0150079","87.94","12-May-2238"
"CUST0000174665","INV0150117","72.06","02-Jun-2238"
"CUST0000126396","INV0150946","82.76","01-Oct-2239"
"CUST0000201126","INV0151155","110.03","07-Feb-2240"
"CUST0000347648","INV0151746","113.79","06-Jan-2241"
"CUST0000206634","INV0151844","101.0","26-Feb-2241"
"CUST0000487982","INV0152065","98.16","01-Jul-2241"
"CUST0000146342","INV0152392","73.98","11-Jan-2242"
"CUST0000165049","INV0153008","117.16","07-Jan-2243"
"CUST0000469588","INV0153166","82.14","10-Apr-2243"
"CUST0000418514","INV0154452","104.39","18-Apr-2245"
"CUST0000072192","INV0154605","100.41","15-Jul-2245"
"CUST0000164224","INV0156827","73.59","23-Dec-2248"
"CUST0000109403","INV0156851","110.4","04-Jan-2249"
"CUST0000013681","INV0157390","110.09","11-Nov-2249"
"CUST0000359732","INV0157656","95.52","08-Apr-2250"
"CUST0000246793","INV0158029","81.3","06-Nov-2250"
"CUST0000361132","INV0158206","74.27","24-Feb-2251"
"CUST0000483016","INV0158889","95.7","24-Mar-2252"
"CUST0000383676","INV0159556","84.53","18-Apr-2253"
"CUST0000005890","INV0160831","85.64","13-May-2255"
"CUST0000051003","INV0161641","72.12","16-Aug-2256"
"CUST0000105158","INV0164008","105.97","08-May-2260"
"CUST0000006336","INV0164516","92.93","24-Feb-2261"
"CUST0000364546","INV0165959","94.3","14-Jun-2263"
"CUST0000161064","INV0167345","70.8","26-Aug-2265"
"CUST0000319380","INV0167507","107.31","01-Dec-2265"
"CUST0000138440","INV0167610","86.86","27-Jan-2266"
"CUST0000131971","INV0167675","114.18","10-Mar-2266"
"CUST0000409594","INV0168029","72.26","09-Oct-2266"
"CUST0000372281","INV0168071","114.03","02-Nov-2266"
"CUST0000029882","INV0168444","100.09","26-May-2267"
"CUST0000360943","INV0168760","112.23","30-Nov-2267"
"CUST0000009290","INV0168777","75.33","10-Dec-2267"
"CUST0000412901","INV0169293","85.3","03-Oct-2268"
"CUST0000472624","INV0169459","88.13","27-Dec-2268"
"CUST0000178211","INV0170025","116.18","07-Dec-2269"
"CUST0000310523","INV0170600","106.76","23-Nov-2270"
"CUST0000295665","INV0170858","106.51","20-Apr-2271"
"CUST0000425577","INV0172171","106.4","14-May-2273"
"CUST0000046638","INV0172943","92.62","12-Aug-2274"
"CUST0000391358","INV0173149","105.34","04-Dec-2274"
"CUST0000483636","INV0174332","108.06","20-Oct-2276"
"CUST0000206317","INV0174382","98.91","20-Nov-2276"
"CUST0000385553","INV0174757","100.27","24-Jun-2277"
"CUST0000026215","INV0175095","110.1","08-Jan-2278"
"CUST0000104099","INV0175312","101.31","19-May-2278"
"CUST0000272654","INV0175434","116.51","19-Jul-2278"
"CUST0000472324","INV0175691","109.39","19-Dec-2278"
"CUST0000350738","INV0176218","104.03","10-Nov-2279"
"CUST0000373603","INV0176238","89.87","26-Nov-2279"
"CUST0000199579","INV0176992","81.41","26-Jan-2281"
"CUST0000441961","INV0177205","105.25","03-Jun-2281"
"CUST0000472324","INV0177526","84.33","04-Dec-2281"
"CUST0000030062","INV0177644","74.42","14-Feb-2282"
"CUST0000218641","INV0178844","81.37","09-Jan-2284"
"CUST0000031536","INV0178862","74.71","19-Jan-2284"
"CUST0000471271","INV0179309","72.03","14-Sep-2284"
"CUST0000026215","INV0179966","100.28","08-Oct-2285"
"CUST0000048878","INV0180573","89.75","12-Oct-2286"
"CUST0000061418","INV0181419","114.87","22-Feb-2288"
"CUST0000110466","INV0181566","99.3","02-Jun-2288"
"CUST0000137034","INV0181628","97.36","07-Jul-2288"
"CUST0000127503","INV0181668","84.25","03-Aug-2288"
"CUST0000105517","INV0182563","97.82","11-Jan-2290"
"CUST0000311265","INV0182564","119.13","13-Jan-2290"
"CUST0000360347","INV0182796","106.41","08-Jun-2290"
"CUST0000235064","INV0183392","113.24","27-May-2291"
"CUST0000360782","INV0183450","93.86","02-Jul-2291"
"CUST0000376301","INV0183985","110.14","13-May-2292"
"CUST0000201193","INV0183991","77.48","18-May-2292"
"CUST0000153138","INV0185106","103.13","26-Feb-2294"
"CUST0000498498","INV0185143","79.7","17-Mar-2294"
"CUST0000245022","INV0186101","110.64","03-Sep-2295"
"CUST0000477475","INV0186334","74.69","17-Jan-2296"
"CUST0000430012","INV0186635","108.21","01-Jul-2296"
"CUST0000228965","INV0189437","82.07","10-Jan-2301"
"CUST0000105149","INV0190125","106.26","02-Mar-2302"
"CUST0000067824","INV0190280","94.07","28-May-2302"
"CUST0000316276","INV0190438","96.23","30-Aug-2302"
"CUST0000164657","INV0190671","94.17","24-Jan-2303"
"CUST0000148951","INV0190763","104.2","16-Mar-2303"
"CUST0000438558","INV0193131","96.38","08-Dec-2306"
"CUST0000278882","INV0193788","71.97","09-Jan-2308"
"CUST0000194992","INV0194415","94.81","04-Jan-2309"
"CUST0000323111","INV0194469","88.38","09-Feb-2309"
"CUST0000072192","INV0194488","109.66","18-Feb-2309"
"CUST0000307232","INV0194516","87.6","05-Mar-2309"
"CUST0000234250","INV0195008","115.41","29-Nov-2309"
"CUST0000360782","INV0195561","109.86","12-Oct-2310"
"CUST0000256511","INV0195685","97.1","06-Jan-2311"
"CUST0000353541","INV0196353","72.07","07-Feb-2312"
"CUST0000390872","INV0196445","103.65","06-Apr-2312"
"CUST0000108880","INV0196797","116.72","26-Oct-2312"
"CUST0000062100","INV0196880","112.22","16-Dec-2312"
"CUST0000038494","INV0197269","70.57","24-Jul-2313"
"CUST0000272493","INV0197524","74.58","22-Dec-2313"
"CUST0000231637","INV0197699","80.73","03-Apr-2314"
"CUST0000398660","INV0198055","89.26","06-Nov-2314"
"CUST0000309565","INV0198634","95.7","10-Oct-2315"
"CUST0000200368","INV0199364","92.08","24-Nov-2316"
"CUST0000270970","INV0199736","94.54","15-Jul-2317"
"CUST0000408146","INV0200021","112.17","04-Jan-2318"
"CUST0000476742","INV0200171","101.23","29-Mar-2318"
"CUST0000207246","INV0200405","117.47","23-Aug-2318"
"CUST0000310170","INV0200553","86.37","17-Nov-2318"
"CUST0000330361","INV0200829","101.0","20-Apr-2319"
"CUST0000140130","INV0201632","114.16","21-Jul-2320"
"CUST0000285090","INV0202424","96.48","09-Oct-2321"
"CUST0000016560","INV0202837","77.5","23-Jun-2322"
"CUST0000352374","INV0203273","87.06","12-Feb-2323"
"CUST0000362413","INV0203709","113.6","31-Oct-2323"
"CUST0000399675","INV0203747","93.37","24-Nov-2323"
"CUST0000155274","INV0205273","93.15","24-Apr-2326"
"CUST0000236538","INV0205290","79.62","03-May-2326"
"CUST0000161807","INV0206642","78.9","11-Jun-2328"
"CUST0000183481","INV0207116","77.61","25-Feb-2329"
"CUST0000445650","INV0207793","99.15","18-Mar-2330"
"CUST0000291006","INV0208274","115.96","02-Jan-2331"
"CUST0000175968","INV0208592","105.7","10-Jul-2331"
"CUST0000400415","INV0208611","75.1","21-Jul-2331"
"CUST0000330131","INV0209560","86.35","06-Jan-2333"
"CUST0000095050","INV0211119","85.59","22-Jul-2335"
"CUST0000235064","INV0211887","91.68","14-Oct-2336"
"CUST0000117735","INV0212212","79.43","17-Apr-2337"
"CUST0000399675","INV0212456","93.89","05-Sep-2337"
"CUST0000448559","INV0212871","112.24","10-May-2338"
"CUST0000347648","INV0213346","83.77","22-Jan-2339"
"CUST0000051517","INV0214105","76.42","04-Apr-2340"
"CUST0000235172","INV0214136","115.6","21-Apr-2340"
"CUST0000171944","INV0214203","118.21","30-May-2340"
"CUST0000341540","INV0214427","119.83","20-Oct-2340"
"CUST0000445037","INV0215387","101.58","25-Apr-2342"
"CUST0000138042","INV0215629","112.64","05-Sep-2342"
"CUST0000114711","INV0216965","112.69","15-Nov-2344"
"CUST0000040572","INV0216977","89.61","20-Nov-2344"
"CUST0000332145","INV0217350","97.89","28-Jun-2345"
"CUST0000056045","INV0217559","117.58","01-Nov-2345"
"CUST0000005890","INV0217638","95.14","17-Dec-2345"
"CUST0000133799","INV0218248","109.56","11-Dec-2346"
"CUST0000088160","INV0218268","103.55","20-Dec-2346"
"CUST0000349345","INV0218485","113.15","22-Apr-2347"
"CUST0000127792","INV0218696","99.02","30-Aug-2347"
"CUST0000465064","INV0219097","70.96","18-Apr-2348"
"CUST0000443547","INV0220384","118.91","14-May-2350"
"CUST0000106029","INV0220435","90.49","14-Jun-2350"
"CUST0000182315","INV0220923","78.67","11-Mar-2351"
"CUST0000045086","INV0221054","88.02","28-May-2351"
"CUST0000307749","INV0221506","98.55","15-Feb-2352"
"CUST0000353541","INV0221863","76.53","12-Sep-2352"
"CUST0000468975","INV0222523","78.6","02-Oct-2353"
"CUST0000384454","INV0222723","114.38","29-Jan-2354"
"CUST0000329497","INV0223160","79.23","02-Oct-2354"
"CUST0000007843","INV0224090","103.02","28-Feb-2356"
"CUST0000318939","INV0225396","93.51","06-Apr-2358"
"CUST0000202796","INV0225763","112.21","24-Oct-2358"
"CUST0000450216","INV0225999","97.52","12-Mar-2359"
